headline,date_published,summary,youtube_link
,,,
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,19-Nov-19,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let’s get started…",https://www.youtube.com/watch?v=z0gguhEmWiY
,,,
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,17-Oct-19,"In this Python Programming video, we will be learning how to download and analyze real-world data from the 2019 Stack Overflow Developer Survey. This is terrific practice for anyone getting into the data science field. We will learn different ways to analyze this data and also some best practices. Let’s get started…",https://www.youtube.com/watch?v=_P7X8tMplsw
,,,
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,21-Sep-19,"In this Python Programming video, we will be learning how to run code in parallel using the multiprocessing module. We will also look at how to process multiple high-resolution images at the same time using a ProcessPoolExecutor from the concurrent.futures module. Let’s get started…",https://www.youtube.com/watch?v=fKl2JW_qrso
,,,
Python Threading Tutorial: Run Code Concurrently Using the Threading Module,12-Sep-19,"In this Python Programming video, we will be learning how to run threads concurrently using the threading module. We will also look at how to download multiple high-resolution images online using a ThreadPoolExecutor from the concurrent.futures module. Let’s get started…",https://www.youtube.com/watch?v=IEEhzQoKtQU
,,,
Update (2019-09-03),3-Sep-19,"Hey everyone. I wanted to give you an update on my videos. I will be releasing videos on threading and multiprocessing within the next week. Thanks so much for your patience. I currently have a temporary recording studio setup at my Airbnb that will allow me to record and edit the threading/multiprocessing videos. I am going to be moving into my new house in 10 days and once I have my recording studio setup then you can expect much faster video releases. I really appreciate how patient everyone has been while I go through this move, especially those of you who are contributing monthly through YouTube",
,,,
Python Quick Tip: The Difference Between “==” and “is” (Equality vs Identity),6-Aug-19,"In this Python Programming Tutorial, we will be learning the difference between using “==” and the “is” keyword when doing comparisons. The difference between these is that “==” checks to see if values are equal, and the “is” keyword checks their identity, which means it’s going to check if the values are identical in terms of being the same object in memory. We’ll learn more in the video. Let’s get started…",https://www.youtube.com/watch?v=mO_dS3rXDIs
,,,
Python Tutorial: Calling External Commands Using the Subprocess Module,24-Jul-19,"In this Python Programming Tutorial, we will be learning how to run external commands using the subprocess module from the standard library. We will learn how to run commands, capture the output, handle errors, and also how to pipe output into other commands. Let’s get started…",https://www.youtube.com/watch?v=2Fp1N6dof0Y
,,,
Visual Studio Code (Windows) – Setting up a Python Development Environment and Complete Overview,1-May-19,"In this Python Programming Tutorial, we will be learning how to set up a Python development environment in VSCode on Windows. VSCode is a very nice free editor for writing Python applications and many developers are now switching over to this editor. In this video, we will learn how to install VSCode, get the Python extension installed, how to change Python interpreters, create virtual environments, format/lint our code, how to use Git within VSCode, how to debug our programs, how unit testing works, and more. We have a lot to cover, so let’s go ahead and get started…",https://www.youtube.com/watch?v=-nh9rCzPJ20
,,,
Visual Studio Code (Mac) – Setting up a Python Development Environment and Complete Overview,1-May-19,"In this Python Programming Tutorial, we will be learning how to set up a Python development environment in VSCode on MacOS. VSCode is a very nice free editor for writing Python applications and many developers are now switching over to this editor. In this video, we will learn how to install VSCode, get the Python extension installed, how to change Python interpreters, create virtual environments, format/lint our code, how to use Git within VSCode, how to debug our programs, how unit testing works, and more. We have a lot to cover, so let’s go ahead and get started…",https://www.youtube.com/watch?v=06I63_p-2A4
,,,
Clarifying the Issues with Mutable Default Arguments,24-Apr-19,"In this Python Programming Tutorial, we will be clarifying the issues with mutable default arguments. We discussed this in my last video titled “5 Common Python Mistakes and How to Fix Them”, but I received many comments from people who were still confused. So we will be doing a deeper dive to explain exactly what is going on here. Let’s get started…",https://www.youtube.com/watch?v=_JGmemuINww
,,,
Python Tutorial: Zip Files – Creating and Extracting Zip Archives,19-Nov-19,"In this video, we will be learning how to create and extract zip archives. We will start by using the zipfile module, and then we will see how to do this using the shutil module. We will learn how to do this with single files and directories, as well as learning how to use gzip as well. Let’s get started…",https://www.youtube.com/watch?v=z0gguhEmWiY
,,,
Python Data Science Tutorial: Analyzing the 2019 Stack Overflow Developer Survey,17-Oct-19,"In this Python Programming video, we will be learning how to download and analyze real-world data from the 2019 Stack Overflow Developer Survey. This is terrific practice for anyone getting into the data science field. We will learn different ways to analyze this data and also some best practices. Let’s get started…",https://www.youtube.com/watch?v=_P7X8tMplsw
,,,
Python Multiprocessing Tutorial: Run Code in Parallel Using the Multiprocessing Module,21-Sep-19,"In this Python Programming video, we will be learning how to run code in parallel using the multiprocessing module. We will also look at how to process multiple high-resolution images at the same time using a ProcessPoolExecutor from the concurrent.futures module. Let’s get started…",https://www.youtube.com/watch?v=fKl2JW_qrso
,,,
